Client Name,Client ABN,Date Published,Parent Organisation,Org ABN,is_energy
Civmec Construction & Engineering Pty Ltd,98 137 816 025,29/03/2022,PYNE AND PARTNERS PTY LTD,81634747363,0
CLAIMO PTY LTD,52 640 170 976,20/12/2024,TSB Advisory Pty Ltd,90604408826,0
Clarence Property Corporation Ltd,67094710942,23/01/2025,Govstrat Pty Ltd,64964952044,0
Clarity Health Care Group Pty Ltd,34 654 848 576,23/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
Clean Energy Council,84 127 102 443,06/01/2025,Emerald House Advocacy Pty Ltd,29682837672,1
Clean Energy Transfer Fund,41 633 252 285,17/07/2023,CGM Communications Pty Ltd,66619642858,1
Cleanaway Pty Ltd,79000164938,20/03/2024,Premier State Consulting Pty Ltd,26149964189,0
Cleanaway Pty Ltd,79000164938,20/03/2024,PremierNational Pty Ltd,71619450841,0
Clear Dynamics Pty Ltd,33 161 418 328,13/08/2024,Horizon GR Pty Ltd,72 652 169 170,0
Clear Point Capital,14169868660,04/07/2022,Media and Public Affairs Australia,49622979177,0
Clemenger BBDO,,01/03/2010,GRACosway Pty Ltd,50082123822,0
Clemenger Group Limited,98004882928,21/04/2020,GRACosway Pty Ltd,50082123822,0
Climate Capital Forum,,26/03/2025,Politiv Pty Ltd,51 684 598 338,0
CLIMATE COUNCIL OF AUSTRALIA LTD,52 165 914 303,26/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
Climate Impact Corporation Limited,,01/08/2023,Hawker Britton Group Pty Ltd,79109681405,0
Climate Impact Corporation Limited,,25/09/2024,Barton Deakin Pty Ltd,65140067287,0
Clontarf Foundation,,05/07/2013,SEC Newgate Pty Limited,38162366056,0
CO.L.MAR. Srl,,08/02/2022,Seismic Asia Pacific Pty Ltd,31083755104,0
CO2CRC Limited,56 117 183 516,11/04/2024,Crestview Strategy Pty Ltd,66675929343,0
Coal Australia Limited,76 665 557 764,16/07/2024,SAS Consulting Group Pty Ltd,33136520548,0
Coastline Credit Union Limited,88 087 649 910,14/04/2025,Sapphire Executive Business Services,17 661 600 504,0
Coaxial Foundation Ltd,71 674 112 433,03/09/2024,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
COBRAM ESTATE PTY LTD,33 122 653 785,28/06/2024,Counsel House Pty Ltd,35631919009,0
COCHLEAR LIMITED,96 002 618 073,05/09/2024,SEC Newgate Pty Limited,38162366056,0
Codan Limited,77 007 590 605,08/01/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
Coles Group Limited,11004089936,29/01/2020,Nexus APAC Pty Ltd,76615655699,0
Coloplast Pty Ltd,57 054 949 692,27/10/2021,Kirchmann Management Consultants Pty Ltd,34837287161,0
ComfortDel Gro New South Wales,92 054 096 892,07/03/2025,House of PR,32 664 821 649,0
ComfortDelGro Corporation Australia Pty Ltd,84 002 072 004,14/07/2025,Bastion Reputation Management Pty Ltd,34 606 814 680,0
COMISKEY MANAGEMENT SERVICES PTY LTD,20 115 254 307,04/03/2025,Confluence Partners Pty Ltd,64682820355,0
Commando Welfare Trust (CWT),17 860 403 129,18/03/2021,Precision Public Affairs Pty Ltd,42639299415,0
Commercial & Asset Finance Brokers Association of Australia,,22/03/2018,Advisory Street,28613329472,0
Commonwealth Games Australia Limited,55165736898,02/02/2024,Hawker Britton Group Pty Ltd,79109681405,0
Commonwealth Games Australia Limited,55 165 736 898,03/12/2024,Barton Deakin Pty Ltd,65140067287,0
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41687119230,10/08/2023,Sling & Stone Pty Ltd,87145965466,0
COMMUNICATION WORKERS UNION POSTAL AND TELECOMMUNICATIONS BRANCH,30 490 675 447,15/07/2021,Essential Media Communications,48074671462,0
Communify,65 114 782 948,05/10/2021,BB Win Win Outcomes,91671079056,0
Community Child Care Association,90 494 504 678,03/07/2023,Lady & Professor Pty Ltd,16642238702,0
Community Clubs Victoria,50737749394,18/10/2018,PRX Unit Trust,71595434578,0
Community Early Learning Australia,81 174 903 921,03/07/2023,Lady & Professor Pty Ltd,16642238702,0
Community Housing Industry Association Limited,30 388 680 258,08/10/2024,Social Change Projects Pty Ltd,60676321270,0
Community Pharmacy Chemotherapy Services Group,,01/03/2010,Jannette Cotterell,51364113263,0
Compagnie de Saint-Gobain S.A.,,27/02/2024,SEC Newgate Pty Limited,38162366056,0
COMPASS EDUCATION AND MIGRATION PTY LTD,17 613 203 419,03/12/2024,TG Public Affairs Pty Ltd,23630677673,0
Comsult(Aust) Pty Ltd,26098280892,26/06/2019,Comsult(Aust) Pty Ltd,26098280892,0
CONDUENT BUSINESS SERVICES (AUSTRALIA) PTY. LTD.,58 136 828 914,20/06/2023,EJF Advisory Pty Ltd,91 659 678 047,0
Conduent Transportation,,16/02/2022,PR4PR Pty Ltd,89634536351,0
Conexa Infrastructure Partners,48 129 876 213,24/01/2024,Richardson Coutts Pty Ltd,82378912405,0
Confidential Pathology,,08/07/2018,Media and Public Affairs Australia,49622979177,0
Connected Media,32003882228,04/07/2022,Media and Public Affairs Australia,49622979177,0
Connected Media,53147713666,09/02/2022,Media and Public Affairs Australia,49622979177,0
ConocoPhillips,28 141 253 787,29/11/2022,Hawker Britton Group Pty Ltd,79109681405,0
Conservation Volunteers Australia,93 006 058 135,20/09/2023,Provocate Pty Ltd,42 622 384 525,0
Consolidated Properties,42134685582,04/08/2022,Milner Strategic Services,24957388494,0
Consolidated Tenders Pty Ltd,89 621 423 612,28/08/2024,PYNE AND PARTNERS PTY LTD,81634747363,0
"Construcciones y Auxiliar de Ferrocarriles, S.A. (CAF)",,31/05/2024,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
Consumer Healthcare Products Australia (Formerly ASMI),55082798952,16/10/2017,Nexus APAC Pty Ltd,76615655699,0
Continuity of Care Collaboration,,16/12/2022,London Agency Pty Ltd,73145352147,0
CONVENIENCE ADVERTISING (AUST.) PTY. LTD.,17 006 271 218,14/02/2024,RedBridge Group Pty Ltd,11650587867,0
Copenhagen Infrastructure Partners,,22/07/2022,Principle Advisory Pty Ltd,29657059848,0
Coplex Construction Pty Ltd,52152339118,02/09/2024,Hamsa Advisory Pty Ltd,45644206306,0
Coposit Pty Limited,40 635 371 630,08/07/2025,Spring Street Advisory Pty Ltd,92603411650,0
Corio Projects Pty Ltd,64651267604,23/05/2025,Operational Legal Australia Pty Ltd,79632066669,0
Cornerstone on Demand,41 159 303 401,28/01/2025,BDAAS Consulting Pty Ltd,62164001969,0
Cornerstone OnDemand Australia Pty Ltd,41 159 303 401,16/10/2024,Simplicity One Pty Ltd,38 640 087 494,0
Coronado Global Resources,99 628 199 468,04/08/2022,Milner Strategic Services,24957388494,0
Corporate Carbon,,11/07/2024,TG Public Affairs Pty Ltd,23630677673,0
Corporate Carbon Group,30637262189,07/07/2025,Verte Strategy,46895732501,0
Cosentino Group,66 150 158 277,06/12/2022,SEC Newgate Pty Limited,38162366056,0
Costa Group of Companies,,04/10/2022,CPI Strategic Pty Ltd,47139102891,0
COTA Australia,,23/08/2016,Essential Media Communications,48074671462,0
Coulson Aviation (Australia) Pty Ltd,23137332944,06/06/2023,The Trustee for CHIKAROVSKI FAMILY TRUST,92715851492,0
Council for Intellectual Disability,,17/02/2025,Bruce Hawker Consulting Pty Ltd,35081137180,0
Council on the Ageing,35 118 911 541,18/07/2022,Public Affairs and Campaigns Australia Pty Ltd,62632061226,0
Country Care Group,26 088 222 226,08/07/2025,Insight Strategy,47609028015,0
COWARDS PUNCH LIMITED,80713541680,15/04/2019,PRX Unit Trust,71595434578,0
Cowboys Rugby League Football Club Limited,28 060 382 961,08/07/2024,Red Rocket Pty Ltd,87 662 027 358,0
CPB Contractors,98 000 893 667,24/01/2024,Milner Strategic Services,24957388494,0
CPG JAG ACTIVE LAND TRUGANINA 1 PTY LTD,,24/12/2024,Horizon GR Pty Ltd,72 652 169 170,0
Crace Holdings Pty Ltd,86 920 862 708,23/06/2025,PYNE AND PARTNERS PTY LTD,81634747363,0
Craig Mostyn Holdings Pty Limited,14 008 398 356,24/03/2023,FTI Consulting (Australia) Pty Ltd,49160397811,0
Crestlink,91 615 631 386,16/06/2025,TG Public Affairs Pty Ltd,23630677673,0
Creswick Quartz Ltd,16 117 305 209,23/01/2025,Girra-Maa Advisory Pty Ltd,73 681 995 086,0
Crime Stoppers Australia,98085860206,20/09/2023,TSB Advisory Pty Ltd,90604408826,0
Crime Stoppers NSW,,21/01/2019,Marketing Elements Pty Ltd,86086302838,0
CRRC Nanjing Puzhen,,09/07/2024,"PATON, ALEXANDER WILLIAM",26764474411,0
CSIRO,,05/06/2013,Innovative Electronics Pty Ltd,47008579566,0
CSL Limited,99051588348,15/05/2024,SEC Newgate Pty Limited,38162366056,0
CSL Seqirus,66 120 398 067,10/01/2024,London Agency Pty Ltd,73145352147,0
CSO Group Pty Ltd,32 617 639 522,18/07/2023,Heimdall Consulting Pty Ltd,79493575818,0
CSR Building Products Limited,55 008 631 356,10/06/2025,SEC Newgate Pty Limited,38162366056,0
CTS Tyre Recycling Pty Ltd,21644200528,04/11/2022,The Trustee for THE D & W CHRISTISON FAMILY TRUST,70997483976,0
Cubico Sustainable Investments Australia Pty Ltd,48 624 996 078,10/06/2025,Anacta Strategies Pty Ltd,64633978677,0
Curtin University,99143842569,03/09/2024,"Davies, Scott Andrew",98468815818,0
CW Retail Services Pty Ltd,,07/06/2021,GCT Media Services,30 061 360 354,0
CyberCX Pty Ltd,90 629 363 328,24/05/2023,PYNE AND PARTNERS PTY LTD,81634747363,0
Cyprium Metals Ltd,48 002 678 640,27/09/2024,PYNE AND PARTNERS PTY LTD,81634747363,0
Cystic Fibrosis Australia,73 104 285 136,07/02/2023,Nexus APAC Pty Ltd,76615655699,0
Datapod (Australia) Pty Ltd,66 126 793 860,26/02/2024,Precision Public Affairs Pty Ltd,42639299415,0
De Grey Mining Limited,65094206292,12/02/2024,BINA GROUP PTY LTD,63168662379,0
Deafness Forum Limited,49008587611,10/07/2023,Astute Advocacy Pty Ltd,12679441644,0
Dean Johnstone,,17/07/2025,Dr Cameron Francis Hogan,67595207069,0
Defence Bank Limited,57087651385,04/10/2018,"MCDOUGALL,DANIEL JOHN",22535615464,0
Delaware North,92003435345,07/02/2020,The Trustee for Arthur Trust,63272133108,0
Delaware North Companies Australia Pty Ltd,92 003 435 345,27/06/2023,PRX Unit Trust,71595434578,0
Dell Australia Pty Ltd,,06/11/2012,Cornerstone Group Australia Pty Ltd,99153936719,0
Dell Technologies,46003855561,11/09/2020,Cornerstone Group Australia Pty Ltd,99153936719,0
Delta Group Pty Ltd,19 165 323 222,01/06/2023,PRX Unit Trust,71595434578,0
Dementia & Alzheimer’s Australia Ltd,79 625 582 771,14/02/2025,OGILVY HEALTH PTY LTD,62 114 807 877,0
Demigold Pty Ltd,,30/01/2012,Cornerstone Group Australia Pty Ltd,99153936719,0
DENTAL HYGIENISTS ASSOCIATION OF AUSTRALIA LIMITED,93 364 414 836,05/10/2023,JO SCARD PTY LTD,29145634224,0
DEPUTECHNOLOGIES PTY LTD,59133632130,10/08/2023,Sling & Stone Pty Ltd,87145965466,0
Design Construct Industries Pty Ltd,50 117 543 129,01/11/2024,Bench Advisory Pty Ltd,83 664 390 569,0
Designer Life,13 976 018 396,05/04/2021,BB Win Win Outcomes,91671079056,0
Device Technologies,40 058 091 973,20/09/2023,Provocate Pty Ltd,42 622 384 525,0
Dexus Holdings Pty Limited,,14/07/2017,SEC Newgate Pty Limited,38162366056,0
Dexus Real Estate and Infrastructure,48 110 366 946,17/02/2025,Capetal Advisory Pty Ltd,86615732182,0
DHL Supply Chain (Australia) Pty Ltd,85071798617,12/08/2022,Willard Public Affairs Pty Limited,17165851856,0
Diabetes Australia,47008528461,03/10/2024,Bossy Group Pty Ltd,24166898488,0
Diabetes Australia,49947460313,24/12/2024,The Trustee for Popp Family Trust,48 697 260 710,0
Diabetes Australia,47 008 528 461,06/06/2022,Anacta Strategies Pty Ltd,64633978677,0
Diageo Australia,33004167720,17/04/2025,Banksia Strategic Partners Pty Ltd,50660359866,0
Diatreme Resources Ltd,33 061 267 061,08/11/2024,Anacta Strategies Pty Ltd,64633978677,0
DiDi Mobility,96 623 144 963,04/09/2023,Brookline Advisory Pty Ltd,89669353477,0
DigiMe Ltd,,11/02/2018,BDAAS Consulting Pty Ltd,62164001969,0
Diginostic Pty Ltd,13 631 789 332,10/11/2020,RedBridge Group Pty Ltd,11650587867,0
DIGITAL INFRATECH PTY LTD,76 651 338 117,20/09/2021,SAS Consulting Group Pty Ltd,33136520548,0
Digital Twinning Australia,37 657 105 158,11/07/2024,Northstar Public Affairs Pty Ltd,25638744046,0
Digital61 Pty Ltd,42 620 189 862,12/07/2024,Molico Pty Ltd,52169196061,0
Dilji Corporation,97655230256,15/07/2024,Perth Media Pty Ltd,33627879627,0
Direct Freight Express Pty ltd,,30/01/2012,Cornerstone Group Australia Pty Ltd,99153936719,0
DISABILITY INTERMEDIARIES AUSTRALIA LTD,46 630 086 449,30/06/2025,GRACosway Pty Ltd,50082123822,0
Discord Inc,,17/10/2023,Eloquium Group Pty Ltd,45631309923,0
Diversity and Inclusion Summit,68 647 096 133,15/07/2024,Perth Media Pty Ltd,33627879627,0
DocuSign,,18/11/2015,Diplomacy Pty Limited,17148998645,0
DOCUSIGN INC,27308800598,19/03/2025,TSB Advisory Pty Ltd,90604408826,0
DomGas Alliance,,14/02/2020,Purple Communications Australia Pty Ltd,37108802366,1
Dongara Marine Pty Ltd,25 612 674 174,13/02/2023,Purple Communications Australia Pty Ltd,37108802366,0
DOORDASH TECHNOLOGIES AUSTRALIA PTY LTD,96634446030,03/02/2025,TSB Advisory Pty Ltd,90604408826,0
Downer Group,,20/10/2020,TG Public Affairs Pty Ltd,23630677673,0
DP World Australia (POAL) Limited,25000282977,11/03/2020,PremierNational Pty Ltd,71619450841,0
DP World Australia (POAL) Limited,25000282977,11/03/2020,Premier State Consulting Pty Ltd,26149964189,0
DP World Australia Limited,27 129 842 093,17/10/2022,Hawker Britton Group Pty Ltd,79109681405,0
DP World Australia Limited,27 129 842 093,04/03/2025,Barton Deakin Pty Ltd,65140067287,0
DPL Medical Pty Limited,,18/12/2015,Cornerstone Group Australia Pty Ltd,99153936719,0
Dr ES,,08/07/2018,Media and Public Affairs Australia,49622979177,0
DR FALK PHARMA AUSTRALIA PTY LTD,40631091131,11/03/2025,THEMA Consulting Pty Ltd,65121630813,0
Dr Liz,,08/07/2018,Media and Public Affairs Australia,49622979177,0
Dr Me Pty Ltd,29608627443,13/12/2023,H/Advisors APA Pty Ltd,60074901545,0
DR ME PTY LTD,29608627443,09/09/2024,H/Advisors APA Pty Ltd,60074901545,0
Dr Reddy's Laboratories (Australia) Pty Ltd,16 120 092 408,10/07/2025,Kirchmann Management Consultants Pty Ltd,34837287161,0
Drawdown Australia,,31/10/2018,Asys Consulting,74068259683,0
Drax Global PLC,,07/03/2025,Crestview Strategy Pty Ltd,66675929343,0
Dress For Success Tasmania Inc,61769200885,03/04/2025,Vanessa Field Consulting,71238792426,0
DrinkWise Australia Ltd,46112783114,06/10/2021,Principle Advisory Pty Ltd,29657059848,0
DroneShield,26 608 915 859,09/08/2023,EJF Advisory Pty Ltd,91 659 678 047,0
DRUG ARM Australasia,64102943304,01/03/2010,Hawkshaw Pty Ltd,96648425085,0
Drug Awareness and Relief Foundation (Australia),56 385 096 184,01/02/2024,Hawkshaw Pty Ltd,96648425085,0
Duroclass Pty Ltd (ABN 18 640 203 596),18640203596,21/12/2023,H/Advisors APA Pty Ltd,60074901545,0
Dvuln Pty Ltd,24 615 515 207,21/08/2023,Capital Integrity Group Pty Ltd,99 649 180 898,0
DXC Technology Australia,18 008 476 944,12/07/2021,Primary Communication Partners Pty Limited,36617864347,0
Eastern Transport Coalition,,06/01/2025,The Agenda Group Pty Ltd,92118248892,0
EBAY,89243434390,14/05/2020,SEC Newgate Pty Limited,38162366056,0
EBOS GROUP AUSTRALIA PTY LIMITED,38125401247,27/03/2018,PRX Unit Trust,71595434578,0
Echo Therapeutics Pty Ltd,92628298699,23/02/2022,Kirchmann Management Consultants Pty Ltd,34837287161,0
EchoStar,,22/02/2019,Diplomacy Pty Limited,17148998645,0
Echostar Global Australia Pty Ltd,,07/09/2020,Trustee of Kerans Family Trust,60355347758,0
Ecocycle Pty Ltd,76 146 190 516,13/02/2024,PYNE AND PARTNERS PTY LTD,81634747363,0
ECOTPS PTY LTD,95 678 212 836,19/06/2025,GRACosway Pty Ltd,50082123822,0
e-Cycle Solutions Pty Ltd,77154138299,18/08/2020,John Fetter Group Pty Ltd,72688652639,0
EDF Australia Pacific Pty Ltd,51 664 931 079,08/05/2023,Rainmaker Strategic Planning  Pty Ltd,39632234916,0
EDF Renewables Australia,,10/08/2021,Rainmaker Strategic Planning  Pty Ltd,39632234916,0
Edge Data Centres Pty Ltd,55632303827,21/10/2024,The Trustee for CHIKAROVSKI FAMILY TRUST,92715851492,0
Edify Energy Pty Ltd,85 606 684 995,16/10/2023,Red Rocket Pty Ltd,87 662 027 358,1
EduGrowth,42 612 800 594,06/03/2024,Akin Agency,26 624 988 263,0
EduGrowth Limited,42612800594,30/05/2025,Akin Agency,26 624 988 263,0
EFFUSIONTECH PTY LTD,72602821518,18/06/2024,SEC Newgate Pty Limited,38162366056,0
EJF Advisory Pty Ltd,91 659678047,28/09/2023,Bruce Hawker Consulting Pty Ltd,35081137180,0
ELAC SONAR GmbH (a Cohort PLC company),,23/01/2017,Seismic Asia Pacific Pty Ltd,31083755104,0
Elan Energy Matrix Pty Ltd,88 611 714 580,26/09/2023,The Trustee for Arthur Trust,63272133108,1
Elbit Systems of Australia,31143526229,14/07/2022,Probity International Pty. Ltd,77076174126,0
Elbit Systems of Australia P/L,,18/06/2012,Intech Strategies P/L,66006582921,0
Elbit Systems of Australia Pty Ltd,31 143 526 229,17/03/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
Elecseed Pty Ltd,57 632 472 327,21/04/2023,A.GR Advisors Pty Ltd,56665229112,0
Electric Vehicle Council of Australia Limited,34 112 235 651,14/01/2025,Font Public Relations Pty Ltd,39129451716,0
Electric Vehicle Council of Australia Limited,34 112 235 651,11/09/2024,Brookline Advisory Pty Ltd,89669353477,0
Electro Optic Systems,95092708364,17/07/2020,GCB STRATOS CONSULTING PTY LTD,36608484920,0
Electro Optic Systems Pty Ltd,,29/04/2019,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
ELEUTHERA GROUP PTY. LTD.,35 168 390 029,04/06/2024,Wilkinson Butler Pty Ltd,95164204111,0
Elgas,85002749260,22/06/2017,Primary Communication Partners Pty Limited,36617864347,1
Eli Lilly Australia Pty Ltd,39 000 233 992,10/01/2025,Premier State Consulting Pty Ltd,26149964189,0
Eli Lilly Australia Pty Ltd,39 000 233 992,10/01/2025,PremierNational Pty Ltd,71619450841,0
ELI LILLY AUSTRALIA PTY LTD,39 000 233 992,04/12/2024,OGILVY HEALTH PTY LTD,62 114 807 877,0
Elixir Energy Limited,51108230995,03/02/2025,PolicyWonks,50463070316,1
Ella Connect Pty Ltd,83673763463,17/04/2025,The Canberra Institute,59954528757,0
Eloura Holdings,,30/01/2012,Cornerstone Group Australia Pty Ltd,99153936719,0
Emanuel Exports Pty Ltd,,04/05/2018,Bossy Group Pty Ltd,24166898488,0
Emerald Horizon Asia Pacific,81681209389,11/12/2024,Dunn & Co Advisory Pty Ltd,92 646 493 665,0
EMERGE WOMEN AND CHILDREN'S SUPPORT NETWORK INC,66 688 254 017,24/03/2025,Hawker Britton Group Pty Ltd,79109681405,0
Emergency Medicine Research,76009090715,12/08/2024,Antinomies Trust,35441514971,0
Emergent,,20/03/2025,Richardson Coutts Pty Ltd,82378912405,0
EMERGENT 2 PTY LTD,26 605 043 525,30/06/2020,Primary Communication Partners Pty Limited,36617864347,0
Emerging Therapeutic Association Australia,,05/05/2022,Precision Public Affairs Pty Ltd,42639299415,0
Emirates Group,,22/03/2024,Hawker Britton Group Pty Ltd,79109681405,0
Employers Mutual Limited,11001735191,29/08/2012,Premier State Consulting Pty Ltd,26149964189,0
Employers Mutual Limited,11001735191,13/02/2018,PremierNational Pty Ltd,71619450841,0
Employers Mutual Limited ABN,67 000 006 486,22/07/2022,PR4PR Pty Ltd,89634536351,0
Employers Mutual Management Pty Ltd,11 001 735 191,22/07/2022,PR4PR Pty Ltd,89634536351,0
Endeavour Foundation Ltd,80009670704,06/12/2019,Nexus APAC Pty Ltd,76615655699,0
ENDEAVOUR GROUP LIMITED,77 159 767 843,25/05/2023,Principle Advisory Pty Ltd,29657059848,0
Ending Loneliness Together,34 878 289 140,19/05/2025,Bourke Street Advisory,54 075 139 609,0
EnerGeo Alliance,,11/04/2024,Crestview Strategy Pty Ltd,66675929343,0
Energy Autopilot Pty Ltd,41 678 331 621,12/06/2025,DPG Advisory Solutions,14634403115,1
Energy Developments Limited,,26/06/2018,Govstrat Pty Ltd,64964952044,1
Energy Networks Association,75 106 735 406,20/02/2024,EJF Advisory Pty Ltd,91 659 678 047,1
Energy North,48 667 570 872,11/07/2024,TG Public Affairs Pty Ltd,23630677673,1
Energy Renaissance Pty Ltd,90 606 927 575,06/11/2024,Girra-Maa Advisory Pty Ltd,73 681 995 086,1
Energy Resources of Australia Ltd,71 008 550 865,12/01/2024,Principle Advisory Pty Ltd,29657059848,1
Energy Storage Industries Asia Pacific,91 625 504 476,23/05/2024,A.GR Advisors Pty Ltd,56665229112,1
ENERGYBUILD PTY LTD,52 613 897 028,05/11/2024,Horizon GR Pty Ltd,72 652 169 170,1
Energyu Efficiency Council of Australia,,08/07/2018,Media and Public Affairs Australia,49622979177,1
Entrust ICT,12147209667,04/07/2022,Media and Public Affairs Australia,49622979177,0
"Environmental Defense Fund, Inc",,16/12/2022,"Hanson, Charlotte Adelaide",20 445 437 151,0
Environmental Leadership Australia,54 635 383 907,10/01/2025,Premier State Consulting Pty Ltd,26149964189,0
Environmental Leadership Australia,54 635 383 907,10/01/2025,PremierNational Pty Ltd,71619450841,0
"Epic Games, Inc.",,17/11/2020,GRACosway Pty Ltd,50082123822,0
Epirus Inc,,08/01/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
EPTEC MARINE PTY LTD,49 118 319 547,10/01/2022,PYNE AND PARTNERS PTY LTD,81634747363,0
EQT Partners Australia Pty Ltd,57638432318,14/10/2024,GRACosway Pty Ltd,50082123822,0
Equifax Australia,76 609 501 180,02/08/2024,TG Public Affairs Pty Ltd,23630677673,0
Equinor,43 628 770 872,28/02/2022,Hawker Britton Group Pty Ltd,79109681405,0
EQUINOR AUSTRALIA B.V.,43 628 770 872,03/12/2024,Barton Deakin Pty Ltd,65140067287,0
Equis,90 609 956 112,16/06/2025,TG Public Affairs Pty Ltd,23630677673,0
Equitas Asset Management,81 149 738 867,16/06/2025,"HUGH-JONES, CHARLES RUPERT",52312264983,0
Equiticredit Pty Ltd,28676363769,18/03/2025,Jones Strategic Advisory,67645239829,0
ERGT,,09/02/2021,Clarity Corporate Communications Pty Ltd,80086277787,0
Ernst and Young,75 288 172 749,03/02/2025,National Advisory Pty Ltd,29634573363,0
ESA/CSIRO,,22/03/2013,Innovative Electronics Pty Ltd,47008579566,0
ESR Developments (Australia) Pty Ltd,88 625 766 109,31/10/2023,PR4PR Pty Ltd,89634536351,0
ESR Real Estate (Australia) Pty Ltd,64 625 761 962,13/02/2025,GRACosway Pty Ltd,50082123822,0
Esso Australia Pty Ltd,49000018566,09/03/2023,A.GR Advisors Pty Ltd,56665229112,0
Estee Lauder Pty Limited,63 008 444 719,29/09/2021,GRACosway Pty Ltd,50082123822,0
Ethical Super Australia Limited,23 641 250 080,16/09/2022,DPG Advisory Solutions,14634403115,0
EUREKA GROUP HOLDINGS LIMITED,15097241159,23/05/2025,Operational Legal Australia Pty Ltd,79632066669,0
European Energy,40 140 928 605,16/06/2025,TG Public Affairs Pty Ltd,23630677673,1
EUSA Pharma,,12/03/2019,Kirchmann Management Consultants Pty Ltd,34837287161,0
Eutelsat Asia Pte Ltd,,05/02/2014,John C Blackwell,40344935470,0
Evie Networks,58 613 484 754,04/04/2025,Akin Agency,26 624 988 263,0
EVO Power Pty Ltd.,40 634 823 260,16/09/2022,CMX Energy Consulting Pty Ltd,85643880568,1
Exact Sciences Corporation,,04/04/2024,Anacta Strategies Pty Ltd,64633978677,0
Excelium Consulting Pty Ltd,80651479971,25/01/2022,Perdition Road Pty Limited,16641888495,0
Executive Risk Solutions Pty Ltd,53 131 635 517,21/02/2025,GRA Partners Pty Ltd,56131702755,0
Exercise & Sports Science Australia (ESSA),14053849460,06/11/2023,SAS Consulting Group Pty Ltd,33136520548,0
Ex-Fusion Australia Pty Ltd,83 671 360 544,13/05/2025,PYNE AND PARTNERS PTY LTD,81634747363,0
Expanda Box Pty Ltd,86672453253,19/09/2024,Capital Integrity Group Pty Ltd,99 649 180 898,0
Expanded Polystyrene Australia Inc.,,29/11/2022,Font Public Relations Pty Ltd,39129451716,0
Expedia,,26/04/2018,Barton Deakin Pty Ltd,65140067287,0
Expedia,,16/07/2018,Hawker Britton Group Pty Ltd,79109681405,0
Expedia Australia Pty Ltd,,30/07/2018,Brickfielder Government Engagement (BGE),62621984923,0
Fair Australia,,31/01/2025,First Tier Media Pty Ltd,92268817994,0
FAMILIES AUSTRALIA INCORPORATED,21 830 960 225,28/08/2024,SEC Newgate Pty Limited,38162366056,0
Family Day Care Australia,,15/07/2021,Jannette Cotterell,51364113263,0
Family Doctor Pty Ltd,87156304657,19/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
Family First Bank Limited,39 087 650 057,14/04/2025,Sapphire Executive Business Services,17 661 600 504,0
Farm Frites Australia Pty Ltd,13 614 478 438,21/02/2025,The Civic Partnership Pty Ltd,71652574171,0
FARMBOT AUSTRALIA PTY LTD,72168531940,13/12/2024,Diplomacy Pty Limited,17148998645,0
Farmers for Climate Change,56617941376,25/11/2024,Currie Communications Pty Ltd,82050913909,0
Farming Champions Inc,33 485 323 802,15/07/2024,Perth Media Pty Ltd,33627879627,0
Farming Families and Communities WA Limited,566 772 94585,08/07/2024,Bossy Group Pty Ltd,24166898488,0
"FarSounder, Inc",,22/01/2018,Seismic Asia Pacific Pty Ltd,31083755104,0
FBR Ltd,58 090 000 276,13/08/2024,TG Public Affairs Pty Ltd,23630677673,0
FDC BUILDING SERVICES PTY. LIMITED.,94055267788,23/05/2025,Operational Legal Australia Pty Ltd,79632066669,0
FEDERATION UNIVERSITY AUSTRALIA,51 818 692 256,03/10/2024,TG Public Affairs Pty Ltd,23630677673,0
Fedex Express Australia Pty Ltd,41 000 495 269,12/04/2024,GRA Partners Pty Ltd,56131702755,0
Felix Gold Limited,35 645 790 281,10/09/2024,SAS Consulting Group Pty Ltd,33136520548,0
Field and Game Australia,,04/10/2022,CPI Strategic Pty Ltd,47139102891,0
fifty ZOO,58629031830,08/07/2020,Perdition Road Pty Limited,16641888495,0
FightMND,62 740 350 704,06/06/2022,PR4PR Pty Ltd,89634536351,0
FightMND,,13/07/2022,GRACosway Pty Ltd,50082123822,0
Finance Brokers Association of Australasia Limited,,06/09/2016,Bushido International Pty Ltd,58154594644,0
Fine Tobacco,85 624 329 960,01/11/2023,The Influence Corporation Pty. Ltd.,79 671 703 156,0
FINISAR AUSTRALIA PTY LIMITED,45 098 184 582,27/07/2023,Precision Public Affairs Pty Ltd,42639299415,0
FIPRA,,29/09/2010,Richardson Coutts Pty Ltd,82378912405,0
FIPRA Europe Brussels,,17/01/2011,FIPRA Australia Pty Limited,50078482596,0
